,Title,Published_date,Views,Likes,Comments,Month
690,"If You Want To Become A PRODUCTIVITY MASTER, Watch This!",2020-12-28,4582,363,27,Dec
691,self improvement made me love life again,2020-12-25,57312,3454,102,Dec
692,Goal Setting for Self Improvement: Level up your life,2020-12-22,21957,1558,61,Dec
693,FULL TIME JOB TO ONLINE BUSINESS: What you should learn,2020-12-19,61998,4876,51,Dec
694,the world is so beautiful but no one pays attention,2020-12-16,4916,396,20,Dec
695,physical attractiveness is important af (How To Improve Your Looks),2020-12-14,707310,41839,1263,Dec
696,REPROGRAM Your Mind To DESTROY LAZINESS & PROCRASTINATION Today!,2020-12-11,13940,1156,22,Dec
697,REPROGRAM Your Mind To DESTROY LAZINESS & PROCRASTINATION Today!,2020-12-07,24612,1919,68,Dec
698,anxiety explained like you're 5 years old (you probably have anxiety),2020-12-04,35122,2636,87,Dec
699,the morning routine that got me out of depression,2020-11-30,314038,16759,436,Nov
700,What they should have taught you in school,2020-11-27,104363,8060,202,Nov
701,The Education System Failed Us,2020-11-23,25992,2521,93,Nov
702,How To Stop Caring What People Think,2020-11-21,9211,811,36,Nov
703,The best relationship advice no one ever told you,2020-11-16,66414,3881,103,Nov
704,A noobs guide to building muscle - Resistance training guide for beginners,2020-11-11,291195,20513,371,Nov
705,Quitting social media for 6 months - What you need to know,2020-11-06,38628,2640,102,Nov
706,3 Principles for Social Success: Level up your social skills,2020-11-02,91527,7819,109,Nov
707,How to grow your self love,2020-10-23,34994,2522,66,Oct
708,I'm a failure,2020-10-19,706676,48971,825,Oct
709,Reduce depression and anxiety in just 1 month - Meditation and journaling for depression,2020-10-16,55474,3548,101,Oct
710,The best diet advice I can give you,2020-10-12,102916,5990,130,Oct
711,Why isn't mindfulness taught in schools? The Internet Addiction Cure,2020-10-10,37251,3003,68,Oct
712,"Look at the trees, not screens",2020-10-08,6775,470,15,Oct
713,A Message to My 25 Year Old Self: Why I invest in delayed gratification,2020-10-05,14748,1009,40,Oct
714,Full Self Improvement Guide: How To Fix Your Life As A Young Man,2020-10-01,2735699,135659,4033,Oct
715,All my insecurities and why I'm grateful for them,2020-09-25,23609,1964,138,Sep
716,Effect of Social Media on Mental Health - The Instagram Generation,2020-09-21,8065,619,33,Sep
717,2 fun skills you can learn right now instead of scrolling on instagram,2020-09-18,10499,927,25,Sep
718,3 Steps to Making Quality Friends - Overcome Loneliness and Make Friends,2020-09-14,89135,7351,217,Sep
719,How to Check Your Weight Properly - Understand Weight Fluctuations,2020-09-11,16861,960,46,Sep
720,Train Your Brain To BECOME LIMITLESS & Achieve ANY GOAL You Have,2020-09-07,3873,289,31,Sep
721,How to Reduce Stress and Negative Thoughts - Get peacefulness back in your mind,2020-09-04,13821,1165,36,Sep
722,How to lose 10lbs quickly (Fat loss psychology),2020-08-31,60769,4071,113,Aug
723,How to Stop Mind Wandering - The Mindfulness Framework,2020-08-28,65443,5825,139,Aug
724,"If You Feel UNMOTIVATED In Life, WATCH THIS!",2020-08-24,10549,795,40,Aug
725,WILD CAMPING IN A THUNDERSTORM | Striving for maximum discomfort,2020-08-21,8367,582,39,Aug
726,How one habit changed my life.,2020-08-17,5239,365,23,Aug
727,The best workout WITHOUT a gym - GYMNASTIC RINGS beginners walkthrough,2020-08-14,43512,3112,103,Aug
728,"Entire 6 year self improvement journey - Exactly how I progressed my mind, body, dating, social life",2020-08-10,371842,21751,751,Aug
729,This Daily Habit Will Let You ACHIEVE ANYTHING You Want!,2020-08-07,11640,966,52,Aug
730,"If You Want To COMPLETELY CHANGE Your Life In 7 Days, WATCH THIS!",2020-08-03,6160,455,38,Aug
731,How I fall asleep in 11 minutes - 5 techniques I use to fall asleep faster,2020-07-31,241254,18149,524,Jul
732,"How to Have Infinite Energy (Yes, It's Possible)",2020-07-28,13850,1188,21,Jul
733,What activity gives instant AND delayed gratification??,2020-07-24,15569,1020,45,Jul
734,How to Build the Ultimate Productivity System,2020-07-20,31228,2086,68,Jul
735,What to do for fun on a dopamine detox - How to have fun without video games,2020-07-17,65415,4359,117,Jul
736,I meditated every day for 60 days,2020-07-13,8245,467,25,Jul
737,Don't be scared of doing nothing,2020-07-10,16626,1634,20,Jul
738,Eating for TASTE vs NUTRITION (My diet life story),2020-07-07,38054,2173,269,Jul
739,How to REALLY quit social media & video games (STEP BY STEP PRACTICAL GUIDE),2020-07-03,35763,2568,69,Jul
740,6 Week Dopamine Detoxing Results - Benefits of dopamine fasting,2020-07-01,24214,1582,103,Jul
741,How to feel more grateful (Gratitude journaling & Writing letters of gratitude),2020-06-29,59369,6737,73,Jun
742,How a dopamine detox / reducing instant gratification will benefit you (Full detailed explanation),2020-06-27,117078,7151,717,Jun
743,How reducing instant gratification will undoubtedly benefit your future,2020-06-26,13708,958,30,Jun
744,Why having bad genetics is actually a good thing and will improve your life,2020-06-24,7582,509,28,Jun
745,The simple way that meditation improves everything in your life (How to actually meditate properly),2020-06-22,19443,1407,31,Jun
746,The Sugar Industry Cover Up - Sugar is killing the entire world and your country is encouraging it,2020-06-19,12244,650,34,Jun
747,Best FREE Mindfulness App In 2020 + My 3 favourite apps for personal development,2020-06-17,24667,1391,44,Jun
748,How to make the plank harder for more 6 pack abs development and back pain relief,2020-06-15,4253,344,12,Jun
749,Binge Eating and Mindfulness (The most effective binge eating disorder treatment?),2020-06-11,19054,1017,17,Jun
750,Fat loss without tracking calories (NO BULLSH*T GUIDE TO FAT LOSS),2020-06-10,249100,22127,664,Jun
751,Channel Trailer (Who is my channel for?),2020-06-07,5344,275,10,Jun
752,You are not your thoughts. Then what are you?,2020-06-05,19502,1454,34,Jun
753,6 Fitness mistakes to avoid (My most important lessons learnt in 6 years of exercising),2020-06-03,7594,485,15,Jun
754,Bicep curls for the brain,2020-06-01,9203,558,12,Jun
755,Mindful Meditation Explained: How to meditate for beginners,2020-05-30,66338,5842,100,May
756,Lose Body Fat With A Mindset Change (The Best Weight Loss Advice No Ones Telling You),2020-05-27,85747,6105,214,May
757,NINJA WARRIOR TRAINING (Monkey Bar Calisthenics),2020-05-25,3871,272,19,May
758,I'm not special // Looking Ugly on Camera,2020-05-23,20352,1410,48,May
759,Bodybuilders Gymnastic Rings 1 Week Progress (Weightlifter to Gymnast),2020-05-22,7406,407,22,May
760,How to change your life in 2 weeks,2020-05-21,37907,2401,146,May
761,Step by step Gymnast Rings TREE Set Up (How to Install Gymnastic Rings on a tree),2020-05-20,25484,1638,82,May
762,First Time on Gymnastic Rings (Bodybuilder / Weightlifter Tries Gymnastics Ring Workout),2020-05-17,29870,1430,115,May
763,10 Random Gym Tips Everyone Should Know: Advanced & Beginner Exercise Advice,2020-02-07,21161,1093,41,Feb
764,Crashed Mid-Workout? What to do when you have no energy when exercising,2020-01-01,8072,359,16,Jan
765,The two pieces of home training equipment I use: ABS & NECK training,2019-12-15,15746,836,34,Dec
766,Whats life like after achieving your body goals: 5 year body transformation,2019-12-13,10031,432,19,Dec
767,How To Train Your Neck At Home (Thicker neck muscles workout),2019-12-11,187544,9476,189,Dec
768,Full day of eating on IIFYM + Upper Body Workout Session,2019-11-30,10482,377,22,Nov
769,This is how I lose weight whilst eating snacks everyday,2019-11-28,12187,482,37,Nov
770,How To Build An Aesthetic Body (No Bullsh*t Guide),2019-11-24,4303423,260001,4422,Nov
771,Improve mental health with exercise: 3 tips to improve mental health,2019-11-14,20848,934,50,Nov
772,How to start exercising when you don't want to - For lazy & unmotivated people,2019-11-09,22406,1223,58,Nov
773,JUNK FOOD & GYM: How I manage snacking whilst staying in shape,2019-10-31,29162,925,115,Oct
774,VITAMIN D : The one supplement we should be taking,2019-10-29,35609,1482,126,Oct
775,FULL TIME JOB & LIFTING: Juggling work and gym,2019-10-26,34341,1554,125,Oct
776,Weightlifting 5 Year Body Transformation: Natural 5 Year Body Transformation,2019-09-07,95842,3176,228,Sep
